postcode	suburb	no_permits	opacity	type	cost_of_works
0	BOX HILL SOUTH	8	0.0160	Metropolitan	934555
3000	MELBOURNE	1129	2.2580	Metropolitan	933972944
3001	MELBOURNE	274	0.5480	Metropolitan	290133460
3002	EAST MELBOURNE	81	0.1620	Metropolitan	81183999
3003	WEST MELBOURNE	59	0.1180	Metropolitan	92185753
3004	MELBOURNE	139	0.2780	Metropolitan	190171788
3006	SOUTH WHARF	215	0.4300	Metropolitan	480091483
3008	DOCKLANDS	151	0.3020	Metropolitan	537907554
3011	FOOTSCRAY	343	0.6860	Metropolitan	75491014
3012	BROOKLYN	323	0.6460	Metropolitan	74442217
3013	YARRAVILLE	280	0.5600	Metropolitan	40045946
3015	KINGSVILLE SOUTH	289	0.5780	Metropolitan	53419177
3016	WILLIAMSTOWEN	238	0.4760	Metropolitan	43431925
3018	ALTONA	212	0.4240	Metropolitan	54895445
3019	BRAYBROOK	103	0.2060	Metropolitan	27048729
3020	ALBION	562	1.1240	Metropolitan	136870059
3021	ALBANVALE	343	0.6860	Metropolitan	87999143
3022	ARDEER	35	0.0700	Metropolitan	3120688
3023	BURNSIDE	985	1.9700	Metropolitan	244637299
3024	MOUNT COTTRELL	758	1.5160	Metropolitan	134898806
3025	ALTONA EAST	158	0.3160	Metropolitan	20917023
3026	LAVERTON NORTH	38	0.0760	Metropolitan	34608276
3027	WILLIAMS LANDING	218	0.4360	Metropolitan	59316780
3028	ALTONA MEADOWS	180	0.3600	Metropolitan	58360301
3029	HOPPERS CROSSING	1856	3.7120	Metropolitan	434020797
3030	COCOROC	2430	4.8600	Metropolitan	628819050
3031	FLEMINGTON	191	0.3820	Metropolitan	83928141
3032	ASCOT VALE	411	0.8220	Metropolitan	236623310
3033	EAST KEILOR	211	0.4220	Metropolitan	76836644
3034	AVONDALE HEIGHTS	115	0.2300	Metropolitan	14919696
3036	KEILOR	78	0.1560	Metropolitan	17608072
3037	DELAHEY	565	1.1300	Metropolitan	111206307
3038	KEILOR DOWNS	230	0.4600	Metropolitan	25276780
3039	ASCOT VALE	237	0.4740	Metropolitan	39255941
3040	ABERFELDIE	425	0.8500	Metropolitan	91591021
3041	ESSENDON NORTH	211	0.4220	Metropolitan	52297152
3042	AIRPORT WEST	323	0.6460	Metropolitan	63985783
3043	GLADSTONE PARK	187	0.3740	Metropolitan	58652142
3044	PASCOE VALE	393	0.7860	Metropolitan	63123160
3046	GLENROY	412	0.8240	Metropolitan	79304550
3047	BROADMEADOWS	228	0.4560	Metropolitan	96016313
3048	COOLAROO	106	0.2120	Metropolitan	32421297
3049	ATTWOOD	106	0.2120	Metropolitan	12925061
