postcode	suburb	no_permits	opacity	type	cost_of_works
0	BONNIE DOON	3	0.0060	Metropolitan	108863
3000	MELBOURNE	1131	2.2620	Metropolitan	1189848089
3001	MELBOURNE	190	0.3800	Metropolitan	345778581
3002	EAST MELBOURNE	98	0.1960	Metropolitan	31071757
3003	WEST MELBOURNE	92	0.1840	Metropolitan	80559548
3004	MELBOURNE	162	0.3240	Metropolitan	93179495
3006	SOUTH WHARF	178	0.3560	Metropolitan	319322073
3008	DOCKLANDS	148	0.2960	Metropolitan	653041155
3010	UNIVERSITY OF MELBOURNE	1	0.0020	Metropolitan	380381
3011	FOOTSCRAY	246	0.4920	Metropolitan	83866485
3012	BROOKLYN	314	0.6280	Metropolitan	85595912
3013	YARRAVILLE	284	0.5680	Metropolitan	41126439
3015	NEWPORT	322	0.6440	Metropolitan	60485086
3016	WILLIAMSTOWN	284	0.5680	Metropolitan	48605863
3018	ALTONA	198	0.3960	Metropolitan	87524238
3019	BRAYBROOK	94	0.1880	Metropolitan	29001234
3020	ALBION	443	0.8860	Metropolitan	87537731
3021	ALBANVALE	304	0.6080	Metropolitan	32072016
3022	ARDEER	41	0.0820	Metropolitan	5180207
3023	BURNSIDE	614	1.2280	Metropolitan	227114952
3024	MOUNT COTTRELL	431	0.8620	Metropolitan	80615834
3025	ALTONA NORTH	172	0.3440	Metropolitan	32937567
3026	LAVERTON NORTH	41	0.0820	Metropolitan	16603617
3027	WILLIAMS LANDING	247	0.4940	Metropolitan	67295311
3028	ALTONA MEADOWS	177	0.3540	Metropolitan	17524281
3029	HOPPERS CROSSING	1391	2.7820	Metropolitan	346173342
3030	DERRIMUT	1747	3.4940	Metropolitan	418123982
3031	FLEMINGTON	166	0.3320	Metropolitan	40701831
3032	ASCOT VALE	410	0.8200	Metropolitan	272866566
3033	KEILOR EAST	235	0.4700	Metropolitan	57560427
3034	AVONDALE HEIGHTS	98	0.1960	Metropolitan	22230117
3036	KEILOR	86	0.1720	Metropolitan	9120084
3037	DELAHEY	492	0.9840	Metropolitan	82634333
3038	KEILOR DOWNS	221	0.4420	Metropolitan	15835107
3039	MOONEE PONDS	239	0.4780	Metropolitan	59888475
3040	ABERFELDIE	391	0.7820	Metropolitan	118168478
3041	ESSENDON NORTH	222	0.4440	Metropolitan	33682254
3042	AIRPORT WEST	283	0.5660	Metropolitan	49928464
3043	GLADSTONE PARK	153	0.3060	Metropolitan	19686217
3044	PASCOE VALE	341	0.6820	Metropolitan	55349919
3046	GLENROY	398	0.7960	Metropolitan	65263310
3047	BROADMEADOWS	221	0.4420	Metropolitan	73842366
3048	COOLAROO	106	0.2120	Metropolitan	21865045
3049	ATTWOOD	105	0.2100	Metropolitan	30778645
3051	NORTH MELBOURNE	108	0.2160	Metropolitan	40137361
3052	ELLIOT AVENUE, PARKVILLE	144	0.2880	Metropolitan	223469499
3053	CARLTON	142	0.2840	Metropolitan	236342895
3054	CARLTON NORTH	91	0.1820	Metropolitan	19555123
3055	BRUNSWICK WEST	115	0.2300	Metropolitan	22732550
3056	BRUNSWICK	375	0.7500	Metropolitan	89654694
3057	BRUNSWICK EAST	105	0.2100	Metropolitan	54065363
3058	COBURG	482	0.9640	Metropolitan	71044352
3059	GREENVALE	255	0.5100	Metropolitan	46580942
3060	FAWKNER	121	0.2420	Metropolitan	18918423
3061	CAMPBELLFIELD	90	0.1800	Metropolitan	27224750
3062	SOMERTON	9	0.0180	Metropolitan	2976500
3063	OAKLANDS JUNCTION	12	0.0240	Metropolitan	920825
3064	CRAIGIEBURN	1452	2.9040	Metropolitan	455890057
3065	FITZROY	168	0.3360	Metropolitan	48810683
3066	COLLINGWOOD	121	0.2420	Metropolitan	52183710
3067	ABBOTSFORD	127	0.2540	Metropolitan	164446285
3068	CLIFTON HILL	225	0.4500	Metropolitan	60648170
3070	NORTHCOTE	371	0.7420	Metropolitan	90394293
3071	THORNBURY	219	0.4380	Metropolitan	32556082
3072	PRESTON	378	0.7560	Metropolitan	70360153
3073	RESERVOIR	465	0.9300	Metropolitan	74535930
3074	THOMASTOWN	160	0.3200	Metropolitan	48470679
3075	LALOR	285	0.5700	Metropolitan	57250325
3076	EPPING	483	0.9660	Metropolitan	125968591
3078	ALPHINGTON	172	0.3440	Metropolitan	67069044
3079	IVANHOE	235	0.4700	Metropolitan	47821067
3081	BELLFIELD	198	0.3960	Metropolitan	37520858
3082	MILL PARK	156	0.3120	Metropolitan	14129699
3083	BUNDOORA	368	0.7360	Metropolitan	134532606
3084	EAGLEMONT	374	0.7480	Metropolitan	120582332
3085	MACLEOD	143	0.2860	Metropolitan	14980617
3087	WATSONIA	99	0.1980	Metropolitan	7329838
3088	BRIAR HILL	324	0.6480	Metropolitan	32802824
3089	DIAMOND CREEK	123	0.2460	Metropolitan	13828345
3090	PLENTY	59	0.1180	Metropolitan	16817627
3091	YARRAMBAT	31	0.0620	Metropolitan	4237560
3093	LOWER PLENTY	57	0.1140	Metropolitan	7310394
3094	MONTMORENCY	102	0.2040	Metropolitan	9891847
3095	ELTHAM	319	0.6380	Metropolitan	55250314
3096	WATTLE GLEN	18	0.0360	Metropolitan	2121579
3097	BEND OF ISLANDS	32	0.0640	Metropolitan	5079684
3099	ARTHURS CREEK	60	0.1200	Metropolitan	5306710
3101	KEW	437	0.8740	Metropolitan	171557288
3102	KEW EAST	109	0.2180	Metropolitan	24917599
3103	BALWYN	283	0.5660	Metropolitan	93640320
3104	BALWYN NORTH	326	0.6520	Metropolitan	68981954
3105	BULLEEN	108	0.2160	Metropolitan	17256773
3106	TEMPLESTOWE	155	0.3100	Metropolitan	31506974
3107	TEMPLESTOWE LOWER	112	0.2240	Metropolitan	20068328
3108	DONCASTER	212	0.4240	Metropolitan	70140000
3109	DONCASTER EAST	207	0.4140	Metropolitan	61311921
3111	DONVALE	116	0.2320	Metropolitan	25965232
3113	NORTH WARRANDYTE	116	0.2320	Metropolitan	15569700
3114	PARK ORCHARDS	49	0.0980	Metropolitan	6152870
3115	WONGA PARK	79	0.1580	Metropolitan	12360387
3116	CHIRNSIDE PARK	102	0.2040	Metropolitan	8304619
3121	BURNLEY	486	0.9720	Metropolitan	226406457
3122	HAWTHORN	354	0.7080	Metropolitan	252118859
3123	HAWTHORN EAST	192	0.3840	Metropolitan	102255713
3124	CAMBERWELL	377	0.7540	Metropolitan	116672247
3125	BURWOOD	269	0.5380	Metropolitan	103292932
3126	CANTERBURY	144	0.2880	Metropolitan	40153128
3127	MONT ALBERT	316	0.6320	Metropolitan	67369131
3128	BOX HILL	365	0.7300	Metropolitan	327887275
3129	BOX HILL NORTH	198	0.3960	Metropolitan	42706414
3130	BLACKBURN	476	0.9520	Metropolitan	79747266
3131	FOREST HILL	314	0.6280	Metropolitan	69805660
3132	MITCHAM	265	0.5300	Metropolitan	75093049
3133	VERMONT	198	0.3960	Metropolitan	33845144
3134	NORTH RINGWOOD	412	0.8240	Metropolitan	104947481
3135	HEATHMONT	260	0.5200	Metropolitan	41183663
3136	CROYDON	685	1.3700	Metropolitan	96821455
3137	KILSYTH	183	0.3660	Metropolitan	21286680
3138	MOOROOLBARK	268	0.5360	Metropolitan	28877528
3139	DON VALLEY	143	0.2860	Metropolitan	15267158
3140	LILYDALE	245	0.4900	Metropolitan	46059593
3141	SOUTH YARRA	232	0.4640	Metropolitan	186532722
3142	HAWKSBURN	279	0.5580	Metropolitan	161222593
3143	ARMADALE	134	0.2680	Metropolitan	48569479
3144	KOOYONG	222	0.4440	Metropolitan	113448096
3145	CAULFIELD EAST	370	0.7400	Metropolitan	93518020
3146	GLEN IRIS	362	0.7240	Metropolitan	80751621
3147	ASHBURTON	222	0.4440	Metropolitan	59948866
3148	CHADSTONE	153	0.3060	Metropolitan	28597102
3149	MOUNT WAVERLEY	481	0.9620	Metropolitan	101699649
3150	BRANDON PARK	650	1.3000	Metropolitan	118033153
3151	BURWOOD EAST	132	0.2640	Metropolitan	41120522
3152	KNOX CITY CENTRE	382	0.7640	Metropolitan	66745877
3153	BAYSWATER	210	0.4200	Metropolitan	35411413
3154	THE BASIN	44	0.0880	Metropolitan	3140933
3155	BORONIA	237	0.4740	Metropolitan	33421784
3156	FERNTREE GULLY	395	0.7900	Metropolitan	42244380
3158	UPWEY	69	0.1380	Metropolitan	4694861
3159	MENZIES CREEK	16	0.0320	Metropolitan	1040545
3160	BELGRAVE	97	0.1940	Metropolitan	7414115
3161	CAULFIELD NORTH	158	0.3160	Metropolitan	45688831
3162	CAULFIELD	264	0.5280	Metropolitan	110157394
3163	CARNEGIE	276	0.5520	Metropolitan	74036405
3164	DANDENONG SOUTH	26	0.0520	Metropolitan	37112583
3165	BENTLEIGH EAST	386	0.7720	Metropolitan	64743411
3166	HUGHESDALE	294	0.5880	Metropolitan	51981178
3167	OAKLEIGH SOUTH	76	0.1520	Metropolitan	16659155
3168	CLAYTON	270	0.5400	Metropolitan	230372201
3169	CLARINDA	155	0.3100	Metropolitan	19872116
3170	MULGRAVE	286	0.5720	Metropolitan	119848192
3171	SPRINGVALE	200	0.4000	Metropolitan	22123281
3172	DINGLEY VILLAGE	140	0.2800	Metropolitan	13079717
3173	KEYSBOROUGH	495	0.9900	Metropolitan	148422257
3174	NOBLE PARK	231	0.4620	Metropolitan	32717332
3175	BANGHOLME	587	1.1740	Metropolitan	229399378
3177	DOVETON	83	0.1660	Metropolitan	21306204
3178	ROWVILLE	268	0.5360	Metropolitan	23290079
3179	SCORESBY	74	0.1480	Metropolitan	18861120
3180	KNOXFIELD	104	0.2080	Metropolitan	20915107
3181	PRAHRAN	244	0.4880	Metropolitan	147624086
3182	ST KILDA	221	0.4420	Metropolitan	86291099
3183	BALACLAVA	138	0.2760	Metropolitan	40541817
3184	ELWOOD	128	0.2560	Metropolitan	25956437
3185	ELSTERNWICK	160	0.3200	Metropolitan	31193376
3186	BRIGHTON	410	0.8200	Metropolitan	161781672
3187	BRIGHTON EAST	219	0.4380	Metropolitan	46202184
3188	HAMPTON	296	0.5920	Metropolitan	53402293
3189	MOORABBIN	88	0.1760	Metropolitan	18458764
3190	HIGHETT	175	0.3500	Metropolitan	42876518
3191	SANDRINGHAM	158	0.3160	Metropolitan	39572938
3192	CHELTENHAM	327	0.6540	Metropolitan	71648887
3193	BEAUMARIS	351	0.7020	Metropolitan	83154205
3194	MENTONE	168	0.3360	Metropolitan	42664232
3195	ASPENDALE	495	0.9900	Metropolitan	83582878
3196	BONBEACH	285	0.5700	Metropolitan	43960779
3197	CARRUM	134	0.2680	Metropolitan	18499203
3198	SEAFORD	179	0.3580	Metropolitan	23345270
3199	FRANKSTON	510	1.0200	Metropolitan	101838115
3200	FRANKSTON NORTH	29	0.0580	Metropolitan	1905240
3201	CARRUM DOWNS	328	0.6560	Metropolitan	60443989
3202	HEATHERTON	27	0.0540	Metropolitan	8559315
3204	BENTLEIGH	425	0.8500	Metropolitan	70602695
3205	SOUTH MELBOURNE	193	0.3860	Metropolitan	255610740
3206	ALBERT PARK	197	0.3940	Metropolitan	56933911
3207	GARDEN CITY	275	0.5500	Metropolitan	146513272
3211	LITTLE RIVER	33	0.0660	Metropolitan	3117691
3212	AVALON	315	0.6300	Rural	42617124
3214	CORIO	212	0.4240	Rural	45860596
3215	BELL PARK	260	0.5200	Rural	29924115
3216	BELMONT	1020	2.0400	Metropolitan	228986432
3217	ARMSTRONG CREEK	174	0.3480	Rural	40144888
3218	GEELONG WEST	253	0.5060	Rural	25965114
3219	BREAKWATER	279	0.5580	Rural	21204335
3220	GEELONG	447	0.8940	Rural	171141927
3221	ANAKIE	203	0.4060	Rural	26330407
3222	CLIFTON SPRINGS	376	0.7520	Metropolitan	61803109
3223	INDENTED HEAD	256	0.5120	Rural	36449375
3224	LEOPOLD	431	0.8620	Rural	72888595
3225	POINT LONSDALE	148	0.2960	Rural	33454598
3226	OCEAN GROVE	298	0.5960	Rural	58341173
3227	BARWON  HEADS	221	0.4420	Rural	48275954
3228	BELLBRAE	544	1.0880	Metropolitan	122849951
3230	ANGLESEA	119	0.2380	Rural	22231286
3231	AIREYS INLET	69	0.1380	Rural	18482387
3232	LORNE	57	0.1140	Rural	11740917
3233	APOLLO BAY	78	0.1560	Rural	16616861
3235	DEANS MARSH	11	0.0220	Rural	417291
3236	FORREST	6	0.0120	Rural	429626
3237	FERGUSON	3	0.0060	Rural	1308373
3238	GLENAIRE	8	0.0160	Rural	1863750
3239	CARLISLE RIVER	5	0.0100	Rural	505225
3240	BUCKLEY	36	0.0720	Rural	2238310
3241	BAMBRA	56	0.1120	Rural	5200516
3242	BIRREGURRA	30	0.0600	Rural	2575772
3243	BARWON DOWNS	9	0.0180	Rural	226119
3249	BALINTORE	48	0.0960	Rural	3920728
3250	COLAC	226	0.4520	Rural	36652110
3251	BEEAC	11	0.0220	Rural	875057
3254	COROROOKE	3	0.0060	Rural	219825
3260	BOSTOCKS CREEK	79	0.1580	Rural	5022087
3264	TERANG	43	0.0860	Rural	4352051
3265	BOORCAN	51	0.1020	Rural	4649259
3266	COBDEN	45	0.0900	Rural	3659027
3267	SCOTTS CREEK	5	0.0100	Rural	89479
3268	BRUCKNELL	60	0.1200	Rural	4640570
3269	PORT CAMPBELL	15	0.0300	Rural	2684750
3270	PETERBOROUGH	19	0.0380	Rural	2406591
3271	DARLINGTON	3	0.0060	Rural	78500
3272	MORTLAKE	28	0.0560	Rural	3211989
3273	HEXHAM	1	0.0020	Rural	11000
3274	CARAMUT	2	0.0040	Rural	267439
3275	MAILORS FLAT	20	0.0400	Rural	1323296
3276	MINJAH	7	0.0140	Rural	2840097
3277	ALLANSFORD	33	0.0660	Rural	3238248
3278	PURNIM	9	0.0180	Rural	672225
3279	BALLANGEICH	7	0.0140	Rural	320227
3280	DENNINGTON	572	1.1440	Rural	115148178
3281	BUSHFIELD	53	0.1060	Rural	6287132
3282	ILLOWA	55	0.1100	Rural	7075675
3283	CROSSLEY	46	0.0920	Rural	3434949
3284	ORFORD	95	0.1900	Rural	17946192
3285	NARRAWONG	14	0.0280	Rural	1102849
3286	MACARTHUR	15	0.0300	Rural	2352327
3287	HAWKESDALE	8	0.0160	Rural	483320
3289	PENSHURST	13	0.0260	Rural	522482
3292	NELSON	6	0.0120	Rural	546621
3293	GLENTHOMPSON	2	0.0040	Rural	259714
3294	DUNKELD	20	0.0400	Rural	1586053
3300	BYADUK NORTH	227	0.4540	Rural	25663694
3301	BOCHARA	19	0.0380	Rural	2403300
3302	BRANXHOLME	7	0.0140	Rural	822855
3303	BREAKAWAY CREEK	3	0.0060	Rural	255000
3304	BESSIEBELLE	41	0.0820	Rural	5025951
3305	ALLESTREE	220	0.4400	Rural	29229744
3309	DIGBY	3	0.0060	Rural	84490
3310	MERINO	4	0.0080	Rural	244009
3311	CASTERTON	21	0.0420	Rural	3597367
3312	CARAPOOK	15	0.0300	Rural	1187332
3314	BULART	8	0.0160	Rural	107765
3315	COLERAINE	17	0.0340	Rural	489290
3318	EDENHOPE	14	0.0280	Rural	648297
3319	APSLEY	9	0.0180	Rural	316242
3321	INVERLEIGH	78	0.1560	Rural	11576087
3322	CRESSY	4	0.0080	Rural	231255
3323	BERRYBANK	4	0.0080	Rural	94884
3324	LISMORE	8	0.0160	Rural	331918
3325	DERRINALLUM	4	0.0080	Rural	282974
3328	TEESDALE	48	0.0960	Rural	5164569
3329	SHELFORD	4	0.0080	Rural	367345
3330	ROKEWOOD	2	0.0040	Rural	22105
3331	BANNOCKBURN	273	0.5460	Rural	40768264
3332	LETHBRIDGE	24	0.0480	Rural	1259363
3333	MEREDITH	20	0.0400	Rural	1271174
3334	CARGERIE	9	0.0180	Rural	595909
3335	PLUMPTON	177	0.3540	Metropolitan	38932088
3337	KURUNJANG	513	1.0260	Metropolitan	96147467
3338	BROOKFIELD	543	1.0860	Metropolitan	100655307
3340	BACCHUS MARSH	607	1.2140	Metropolitan	88911115
3341	DALES CREEK	17	0.0340	Metropolitan	2207335
3342	BALLAN	87	0.1740	Metropolitan	12461215
3345	GORDON	24	0.0480	Rural	1915177
3350	ALFREDTON	1033	2.0660	Metropolitan	214135780
3351	BERRINGA	173	0.3460	Rural	16486672
3352	BLOWHARD	337	0.6740	Rural	42218218
3353	BALLARAT	143	0.2860	Rural	19190718
3354	BAKERY HILL	1	0.0020	Rural	100000
3355	LAKE GARDENS	114	0.2280	Metropolitan	29246373
