postcode	suburb	no_permits	opacity	type	cost_of_works
3882	NICHOLSON	23	0.0460	Rural	3010679
3885	BRUTHEN	33	0.0660	Rural	2290043
3886	NEWMERELLA	10	0.0200	Rural	976870
3887	LAKE TYERS	9	0.0180	Rural	1129576
3888	BENDOC	73	0.1460	Rural	8955331
3889	CLUB TERRACE	2	0.0040	Rural	85000
3890	CANN RIVER	8	0.0160	Rural	419114
3891	GENOA	2	0.0040	Rural	38700
3892	MALLACOOTA	34	0.0680	Rural	4480479
3895	REEDY FLAT	1	0.0020	Rural	22000
3896	SWIFTS CREEK	15	0.0300	Rural	1836098
3898	BUNDARA	28	0.0560	Metropolitan	2668675
3900	BENAMBRA	6	0.0120	Rural	436765
3902	JOHNSONVILLE	9	0.0180	Rural	1233023
3903	SWAN REACH	34	0.0680	Rural	4410435
3904	METUNG	55	0.1100	Rural	8535310
3909	KALIMNA	174	0.3480	Rural	23816193
3910	LANGWARRIN	344	0.6880	Metropolitan	35742518
3911	BAXTER	37	0.0740	Metropolitan	5063980
3912	PEARCEDALE	194	0.3880	Metropolitan	51375111
3913	TYABB	75	0.1500	Metropolitan	10746972
3915	HASTINGS	215	0.4300	Metropolitan	40818969
3916	MERRICKS	56	0.1120	Metropolitan	7280856
3918	BITTERN	83	0.1660	Metropolitan	12928584
3919	CRIB POINT	68	0.1360	Metropolitan	6973641
3921	FRENCH ISLAND	1	0.0020	Rural	40000
3922	COWES	392	0.7840	Metropolitan	50936558
3923	RHYLL	32	0.0640	Metropolitan	3423755
3925	CAPE WOOLAMAI	121	0.2420	Metropolitan	15254916
3926	BALNARRING	99	0.1980	Metropolitan	18085675
3927	SOMERS	68	0.1360	Metropolitan	8666033
3928	MAIN RIDGE	27	0.0540	Metropolitan	6644887
3929	FLINDERS	62	0.1240	Metropolitan	18741881
3930	MOUNT ELIZA	354	0.7080	Metropolitan	60255343
3931	MORNINGTON	475	0.9500	Metropolitan	80154539
3933	MOOROODUC	22	0.0440	Metropolitan	2600849
3934	MOUNT MARTHA	535	1.0700	Metropolitan	95100105
3936	ARTHURS SEAT	290	0.5800	Metropolitan	49320041
3937	RED HILL	54	0.1080	Metropolitan	11406207
3938	MCCRAE	99	0.1980	Metropolitan	13591149
3939	BONEO	376	0.7520	Metropolitan	63531450
3940	ROSEBUD WEST	50	0.1000	Metropolitan	6207612
3941	RYE	385	0.7700	Metropolitan	46052215
3942	BLAIRGOWRIE	153	0.3060	Metropolitan	22196387
3943	SORRENTO	223	0.4460	Metropolitan	51639114
3944	PORTSEA	80	0.1600	Metropolitan	26335516
3945	JEETHO	31	0.0620	Metropolitan	4313833
3946	BENA	8	0.0160	Rural	175283
3950	KARDELLA SOUTH	104	0.2080	Rural	19673388
3951	ARAWATA	29	0.0580	Rural	2276590
3953	BERRYS CREEK	207	0.4140	Rural	27464906
3954	KOONWARRA	17	0.0340	Rural	4379632
3956	DUMBALK	107	0.2140	Rural	10084981
3957	STONY CREEK	8	0.0160	Rural	678328
3958	BUFFALO	1	0.0020	Rural	250000
3959	FISH CREEK	61	0.1220	Rural	5366868
3960	BENNISON	72	0.1440	Rural	16651981
3962	AGNES	26	0.0520	Rural	4998897
3964	PORT FRANKLIN	4	0.0080	Rural	131742
3965	PORT WELSHPOOL	6	0.0120	Rural	801686
3966	WELSHPOOL	11	0.0220	Rural	612455
3971	ALBERTON	112	0.2240	Rural	10007083
3975	LYNBROOK	458	0.9160	Metropolitan	96617267
3976	HAMPTON PARK	142	0.2840	Metropolitan	18233829
3977	BOTANIC RIDGE	2777	5.5540	Metropolitan	556064781
3978	CARDINIA	29	0.0580	Metropolitan	6903809
3979	ALMURTA	9	0.0180	Rural	779596
3980	BLIND BIGHT	39	0.0780	Metropolitan	4190484
3981	BAYLES	140	0.2800	Metropolitan	23517553
3984	CALDERMEADE	166	0.3320	Metropolitan	21318448
3987	NYORA	36	0.0720	Metropolitan	3836224
3988	MOUNTAIN VIEW	25	0.0500	Rural	3843759
3990	GLEN FORBES	2	0.0040	Rural	36000
3991	BASS	15	0.0300	Metropolitan	2440730
3992	DALYSTON	67	0.1340	Rural	91777150
3995	ANDERSON	342	0.6840	Metropolitan	59243595
3996	INVERLOCH	302	0.6040	Metropolitan	49095774
8002	EAST MELBOURNE	10	0.0200	Metropolitan	1967363
8012	DOCKLANDS	7	0.0140	Metropolitan	8508000
8538	BRUNSWICK	1	0.0020	Metropolitan	6800
8622	HAWTHORN	1	0.0020	Metropolitan	13546
8626	CAMBERWELL	7	0.0140	Metropolitan	2399874
8627	CAMBERWELL	44	0.0880	Metropolitan	4981938
8785	DANDENONG	3	0.0060	Metropolitan	1415000
8865	SOUTH MELBOURNE	1	0.0020	Metropolitan	5000
8873	PORT MELBOURNE	2	0.0040	Metropolitan	1066790
