postcode	suburb	no_permits	opacity	type	cost_of_works
0	ARMSTRONG CREEK	6	0.0120	Metropolitan	1105523
3000	MELBOURNE	1307	2.6140	Metropolitan	1886008774
3001	MELBOURNE	122	0.2440	Metropolitan	129452892
3002	EAST MELBOURNE	94	0.1880	Metropolitan	35771889
3003	WEST MELBOURNE	88	0.1760	Metropolitan	73006465
3004	MELBOURNE	140	0.2800	Metropolitan	56816806
3006	SOUTH WHARF	188	0.3760	Metropolitan	350456089
3008	DOCKLANDS	152	0.3040	Metropolitan	376450055
3010	UNIVERSITY OF MELBOURNE	1	0.0020	Metropolitan	80000
3011	FOOTSCRAY	277	0.5540	Metropolitan	250807648
3012	BROOKLYN	362	0.7240	Metropolitan	87582630
3013	YARRAVILLE	259	0.5180	Metropolitan	37106381
3015	NEWPORT	288	0.5760	Metropolitan	44822820
3016	WILLIAMSTOWN	276	0.5520	Metropolitan	52869461
3018	ALTONA	217	0.4340	Metropolitan	60690280
3019	BRAYBROOK	95	0.1900	Metropolitan	34402216
3020	ALBION	491	0.9820	Metropolitan	106816557
3021	ALBANVALE	334	0.6680	Metropolitan	37969149
3022	ARDEER	37	0.0740	Metropolitan	30556418
3023	BURNSIDE	571	1.1420	Metropolitan	137933064
3024	MOUNT COTTRELL	329	0.6580	Metropolitan	55083399
3025	ALTONA EAST	193	0.3860	Metropolitan	42657334
3026	LAVERTON NORTH	56	0.1120	Metropolitan	31784370
3027	WILLIAMS LANDING	258	0.5160	Metropolitan	88885980
3028	ALTONA MEADOWS	199	0.3980	Metropolitan	85032206
3029	HOPPERS CROSSING	1439	2.8780	Metropolitan	412310363
3030	DERRIMUT	1603	3.2060	Metropolitan	446108980
3031	FLEMINGTON	153	0.3060	Metropolitan	29630410
3032	ASCOT VALE	499	0.9980	Metropolitan	141080552
3033	KEILOR EAST	213	0.4260	Metropolitan	60229352
3034	AVONDALE HEIGHTS	130	0.2600	Metropolitan	18214780
3036	KEILOR	62	0.1240	Metropolitan	6549681
3037	DELAHEY	452	0.9040	Metropolitan	63525997
3038	KEILOR DOWNS	221	0.4420	Metropolitan	19720158
3039	MOONEE PONDS	234	0.4680	Metropolitan	41895658
3040	ABERFELDIE	445	0.8900	Metropolitan	117069662
3041	ESSENDON FIELDS	186	0.3720	Metropolitan	36285823
3042	AIRPORT WEST	304	0.6080	Metropolitan	60161634
3043	GLADSTONE PARK	172	0.3440	Metropolitan	37767523
3044	PASCOE VALE	399	0.7980	Metropolitan	69833158
3046	GLENROY	410	0.8200	Metropolitan	70359802
3047	BROADMEADOWS	237	0.4740	Metropolitan	80799537
3048	COOLAROO	106	0.2120	Metropolitan	11984534
3049	ATTWOOD	86	0.1720	Metropolitan	18453419
3050	ROYAL MELBOURNE HOSPITAL	1	0.0020	Metropolitan	9000
3051	NORTH MELBOURNE	97	0.1940	Metropolitan	27766878
3052	PARKVILLE	109	0.2180	Metropolitan	197653923
3053	CARLTON	202	0.4040	Metropolitan	369770982
3054	CARLTON NORTH	102	0.2040	Metropolitan	16280687
3055	BRUNSWICK WEST	123	0.2460	Metropolitan	24219136
3056	BRNSWICK	341	0.6820	Metropolitan	93778444
3057	BRUNSWICK EAST	129	0.2580	Metropolitan	142447421
3058	COBURG	562	1.1240	Metropolitan	107211504
3059	GREENVALE	410	0.8200	Metropolitan	85194601
3060	FAWKNER	117	0.2340	Metropolitan	15800067
3061	CAMPBELLFIELD	87	0.1740	Metropolitan	25701970
3062	SOMERTON	13	0.0260	Metropolitan	9926800
3063	OAKLANDS JUNCTION	7	0.0140	Metropolitan	131025
3064	CRAIGIEBURN	1492	2.9840	Metropolitan	411255877
3065	FITZROY	180	0.3600	Metropolitan	54206805
3066	COLLINGWOOD	133	0.2660	Metropolitan	37026044
3067	ABBOTSFORD	143	0.2860	Metropolitan	325299784
3068	CLIFTON HILL	260	0.5200	Metropolitan	60713735
3070	NORTHCOTE	414	0.8280	Metropolitan	113603605
3071	THORNBURY	239	0.4780	Metropolitan	44619556
3072	PRESTON	448	0.8960	Metropolitan	94705020
3073	KEON PARK	511	1.0220	Metropolitan	82595313
3074	THOMASTOWN	139	0.2780	Metropolitan	32367412
3075	LALOR	265	0.5300	Metropolitan	45089338
3076	EPPING	468	0.9360	Metropolitan	151309482
3078	ALPHINGTON	199	0.3980	Metropolitan	39777967
3079	IVANHOE	286	0.5720	Metropolitan	63359159
3081	BELLFIELD	217	0.4340	Metropolitan	37734670
3082	MILL PARK	209	0.4180	Metropolitan	25481322
3083	BUNDOORA	441	0.8820	Metropolitan	93394300
3084	EAGLEMENT	344	0.6880	Metropolitan	118966039
3085	MACLEOD	134	0.2680	Metropolitan	14773148
3087	WATSONIA	77	0.1540	Metropolitan	8571124
3088	BRIAR HILL	301	0.6020	Metropolitan	27807588
3089	DIAMOND CREEK	153	0.3060	Metropolitan	15260768
3090	PLENTY	60	0.1200	Metropolitan	18788717
3091	YARRAMBAT	33	0.0660	Metropolitan	4411198
3093	LOWER PLENTY	53	0.1060	Metropolitan	7954281
3094	MONTMORENCY	110	0.2200	Metropolitan	18241558
3095	ELTHAM	360	0.7200	Metropolitan	47073709
3096	WATTLE GLEN	15	0.0300	Metropolitan	688578
3097	BEND OF ISLANDS	34	0.0680	Metropolitan	4445937
3099	ARTHURS CREEK	61	0.1220	Metropolitan	8515160
3101	KEW	497	0.9940	Metropolitan	214547799
3102	KEW EAST	114	0.2280	Metropolitan	24441463
3103	BALWYN	326	0.6520	Metropolitan	103357750
3104	BALWYN NORTH	342	0.6840	Metropolitan	62812439
3105	BULLEEN	123	0.2460	Metropolitan	26635302
3106	TEMPLESTOWE	148	0.2960	Metropolitan	34052037
3107	TEMPLESTOWE LOWER	138	0.2760	Metropolitan	27633517
3108	DONCASTER	230	0.4600	Metropolitan	73236590
3109	DONCASTER EAST	229	0.4580	Metropolitan	43580954
3111	DONVALE	134	0.2680	Metropolitan	37309662
3113	NORTH WARRANDYTE	109	0.2180	Metropolitan	11932817
3114	PARK ORCHARDS	71	0.1420	Metropolitan	11011404
3115	WONGA PARK	50	0.1000	Metropolitan	6254991
3116	CHIRNSIDE PARK	131	0.2620	Metropolitan	22656133
3121	BURNLEY	516	1.0320	Metropolitan	216181676
3122	HAWTHORN	361	0.7220	Metropolitan	196498672
3123	HAWTHORN EAST	229	0.4580	Metropolitan	68933505
3124	CAMBERWELL	433	0.8660	Metropolitan	133740079
3125	BURWOOD	231	0.4620	Metropolitan	129636460
3126	CANTERBURY	185	0.3700	Metropolitan	50133170
3127	MONT ALBERT	348	0.6960	Metropolitan	62783326
3128	BOX HILL	343	0.6860	Metropolitan	133647367
3129	BOX HILL NORTH	243	0.4860	Metropolitan	50358015
3130	BLACKBURN	544	1.0880	Metropolitan	79756515
3131	FOREST HILL	333	0.6660	Metropolitan	49954976
3132	MITCHAM	238	0.4760	Metropolitan	62259257
3133	VERMONT	227	0.4540	Metropolitan	92677306
3134	RINGWOOD	501	1.0020	Metropolitan	140011621
3135	HEATHMONT	308	0.6160	Metropolitan	40681596
3136	CROYDON	660	1.3200	Metropolitan	109543758
3137	KILSYTH	189	0.3780	Metropolitan	24809555
3138	MOOROOLBARK	290	0.5800	Metropolitan	32388789
3139	BEENAK	170	0.3400	Metropolitan	14041177
3140	LILYDALE	263	0.5260	Metropolitan	80467027
3141	SOUTH YARRA	273	0.5460	Metropolitan	222609498
3142	TOORAK	235	0.4700	Metropolitan	149861661
3143	ARMADALE	126	0.2520	Metropolitan	32224722
3144	KOOYONG	220	0.4400	Metropolitan	82283296
3145	CAULFIELD EAST	350	0.7000	Metropolitan	69740231
3146	GLEN IRIS	392	0.7840	Metropolitan	85562555
3147	ASHBURTON	309	0.6180	Metropolitan	59661262
3148	CHADSTONE	160	0.3200	Metropolitan	31199347
3149	MOUNT WAVERLEY	473	0.9460	Metropolitan	105945992
3150	GLEN WAVERLEY	758	1.5160	Metropolitan	170527259
3151	BURWOOD EAST	118	0.2360	Metropolitan	16551448
3152	WANTIRNA	352	0.7040	Metropolitan	50531176
3153	BAYSWATER	270	0.5400	Metropolitan	58507276
3154	THE BASIN	47	0.0940	Metropolitan	8235337
3155	BORONIA	230	0.4600	Metropolitan	45929284
3156	FERNTREE GULLY	426	0.8520	Metropolitan	53422653
3158	UPWEY	72	0.1440	Metropolitan	4267582
3159	MENZIES CREEK	28	0.0560	Metropolitan	1061392
3160	BELGRAVE	125	0.2500	Metropolitan	10017998
3161	CAULFIELD NORTH	173	0.3460	Metropolitan	53201596
3162	CAULFIELD	244	0.4880	Metropolitan	69859446
3163	CARNEGIE	307	0.6140	Metropolitan	68936105
3164	DANDENONG SOUTH	15	0.0300	Metropolitan	23813000
3165	BENTLEIGH EAST	414	0.8280	Metropolitan	86029698
3166	HUGHESDALE	337	0.6740	Metropolitan	69760500
3167	OAKLEIGH SOUTH	114	0.2280	Metropolitan	27730667
3168	CLAYTON	261	0.5220	Metropolitan	152810483
3169	CLARINDA	135	0.2700	Metropolitan	19038747
3170	MULGRAVE	249	0.4980	Metropolitan	55364405
3171	SPRINGVALE	195	0.3900	Metropolitan	43227392
3172	DINGLEY VILLAGE	159	0.3180	Metropolitan	11495345
3173	KEYSBOROUGH	412	0.8240	Metropolitan	125424451
3174	NOBLE PARK	264	0.5280	Metropolitan	43134281
3175	BANGHOLME	530	1.0600	Metropolitan	296417883
3177	DOVETON	112	0.2240	Metropolitan	17817068
3178	ROWVILLE	311	0.6220	Metropolitan	62725469
3179	SCORESBY	66	0.1320	Metropolitan	5520369
3180	KNOXFIELD	99	0.1980	Metropolitan	16099977
3181	PRAHRAN	238	0.4760	Metropolitan	158738509
3182	ST KILDA	246	0.4920	Metropolitan	69380353
3183	BALACLAVA	149	0.2980	Metropolitan	25846894
3184	ELWOOD	177	0.3540	Metropolitan	36246768
3185	ELSTERNWICK	169	0.3380	Metropolitan	60030498
3186	BRIGHTON	477	0.9540	Metropolitan	228142668
3187	BRIGHTON EAST	238	0.4760	Metropolitan	43377306
3188	HAMPTON	316	0.6320	Metropolitan	61616277
3189	MOORABBIN	92	0.1840	Metropolitan	12274230
3190	HIGHETT	139	0.2780	Metropolitan	49820016
3191	SANDRINGHAM	166	0.3320	Metropolitan	73957890
3192	CHELTENHAM	317	0.6340	Metropolitan	127682978
3193	BEAUMARIS	357	0.7140	Metropolitan	75047998
3194	MENTONE	164	0.3280	Metropolitan	47931614
3195	ASPENDALE	497	0.9940	Metropolitan	77499240
3196	BONBEACH	299	0.5980	Metropolitan	46108889
3197	CARRUM	106	0.2120	Metropolitan	15320679
3198	SEAFORD	169	0.3380	Metropolitan	19189366
